WORD,FAM,CONC,IMAG,MEANC,MEANP,AOA
airy,4.23,3.34,3.68,3.53,,
aisle,5.03,5.09,5.28,4,,
alacrity,2.45,2.69,1.89,,,6.78
albatross,3.09,6.21,5.83,,,5.28
albumin,2.17,4.15,3.52,2.05,,
alchemist,2.62,4.62,3.94,,,6.64
alcohol,5.78,6.18,5.98,5.35,6.08,
ale,4.54,5.78,5.26,4.1,,
alert,5.28,4,4.28,4.3,,
algae,3.17,5.45,4.24,,,6.31
algebra,4.83,4.53,5.1,,6.72,
alias,3.84,2.32,2.94,,,5.61
alien,4.79,3.99,4.7,4.22,,
alimony,4.15,4.54,4.56,,5.72,
alive,5.93,,4.26,,,
alkali,3.91,4.37,4.32,,,6.33
all,5.82,2.67,3.32,5.13,,
allegation,3.83,2.72,2.91,,,6.31
allege,2.79,,2.81,,,
allegory,3.14,2.83,2.44,,4.48,6.5
alley,5.26,5.57,5.72,4.18,,
alligator,4.42,6.24,6.27,4.25,7.72,
allophone,0.74,,,,,
allotment,4.2,5.02,4.7,,,4.86
allow,5.04,2.68,3.73,3.68,,
ally,4.1,4.85,4.53,,,4.46
alone,5.62,3.9,4.8,4.6,,
alphabet,4.93,4.49,4.99,,,2.44
also,5.52,1.94,2.64,3.33,,
alter,5.03,4.3,4.13,4.47,,
alternative,5.18,,2.68,,,
although,5.73,2.18,2.08,2.7,,
altitude,4.2,3.73,4.72,,,5.34
aluminium,4.53,6,5.05,,,5.14
aluminum,4.94,5.23,5.01,3.81,,
always,6,2.49,2.8,4.21,,
am,6.03,2.59,2.47,2.42,,
amateur,5.02,3.88,3.97,,,5.22
amazement,4.95,2.77,4.56,,4.5,
ambassador,4.77,5.46,5.45,3.92,5.22,
ambition,5.17,2.81,3.46,4.17,,4.83
ambitious,5.4,,4.04,,,
ambulance,4.99,5.95,6.27,,7.52,
ambush,4.36,,,,,
amendment,4.03,3.26,3.05,,,5.97
amethyst,2.85,5.73,5.1,,,5.67
amity,2,2.78,2.05,,,6.56
ammonia,5.24,5.63,5.36,3.43,,
amount,5.83,3.35,3.16,,5.84,3.92
amour,3.62,3.08,5.36,,5.08,
ampere,2.72,3.27,3.04,2.31,,
amplifier,4.74,5.64,5.59,,5.96,
amplitude,3.74,3.15,3.89,,,6.5
amuse,4.86,3.21,4.55,4.16,,
an,5.95,2.17,1.95,1.53,,
analogy,4.17,2.47,2.67,,,6.17
analytic,4.05,,3.03,,,
anchor,4.58,5.95,5.61,3.9,,
ancient,4.29,,4.51,,,
and,6.2,2.2,2.26,2.9,,
anecdote,3.88,3.98,3.57,,5.84,6.19
anele,1.03,3.02,2.04,1.84,,
angel,4.7,3.99,5.54,,,2.42
anger,5.41,3.15,4.88,4.89,5.83,
angle,5.18,4.67,5.03,3.9,6.24,
angry,6,,4.92,,,
animal,6.2,5.87,5.75,,7,2.22
animosity,3.24,2.53,3.88,,5.19,
ankle,5.43,6.08,6.13,,6.82,2.64
anneal,1.76,2.67,2.19,1.93,,
annex,3.9,4.64,4.35,,,5.36
announcement,5.19,3.68,3.81,,,4.64
annual,4.64,,3.39,,,
answer,6.05,3.97,3.68,4.66,6.04,2.94
ant,5.11,6.04,6.13,4.15,,
antagonism,4.17,2.88,3.78,,,6.36
anteroom,2.41,5.12,3.75,,,6.29
anticipation,4.92,2.88,4.35,,,5.72
antique,4.84,4.92,5.49,4.05,,4.39
antitoxin,2.14,5.31,3.88,,5.67,
anvil,3.02,,,,,
anxiety,5.48,2.41,4.22,,5.69,
anxious,5.44,,3.76,,,
any,5.42,2.22,2.06,2.72,,
anybody,5.91,3.43,3.29,,,3.06
anyone,6.05,,2.88,,,
apart,5.55,3.04,3.64,3.98,,
apartment,4.91,5.75,5.56,4.9,,5.22
apathy,4.72,3.64,3.76,3.77,,
ape,5.47,6.54,6.16,5.38,,
aperture,3.56,4.67,4.24,,,6.39
apex,3.21,4.08,3.75,2.7,,
apology,5.1,3.11,4,,,4.06
apparent,5.31,,2.66,,,
appeal,5.14,3.33,4.02,,,4.31
appear,5.34,2.71,3.41,3.36,,
appearance,5.78,3.58,4.25,,5.68,
appendix,4.93,,,,,
apple,5.98,6.2,6.37,4.51,7.67,2.11
appliance,4.93,5.58,5.54,,6.64,
appointment,5.41,3.41,3.86,,,4.25
appraise,4.59,2.79,3.06,3.82,,
appreciate,5.52,,3,,,
approach,5.08,3.23,3.29,,,4.44
approval,5.26,2.67,3.75,,,4.69
apricot,4.28,6.38,5.91,,,3.86
apron,5.16,,5.65,,,
apt,4.28,1.83,2.95,3.48,,
aptitude,5.05,2.41,3.1,,5.25,
arbiter,2.38,4.21,2.57,,3.71,6.64
arbitrary,4.27,,2.76,,,
arbor,2.89,4.3,3.74,2.6,,
arc,3.97,4.71,4.94,3.63,,
arch,4.83,5.12,5.57,3.71,,3.67
archery,3.51,4.7,5.5,,,4.33
ardent,3.64,,3.47,,,
are,5.64,1.95,2.62,2.77,,
area,5.6,3.84,3.94,3.98,,3.92
argue,5.64,,4.12,,,
arid,4.18,3.99,4.33,3.85,,
arise,4.09,,3.54,,,
aristocracy,4.01,3.71,4.7,,,5.69
ark,4.17,5.61,5.17,3.92,,
arm,6.08,5.92,5.93,4.28,6.92,1.92
armadillo,1.81,5.58,4.01,,4.38,
armor,3.76,5.44,5.03,3.63,,
armour,4.06,5.91,5.36,,,4
army,5.55,5.43,5.78,5.15,6.88,3.17
aromatic,3.07,,4.43,,,
arrangement,5.25,3.08,3.16,,,4.89
array,3.83,3.71,3.65,,4.17,
arrival,5.48,3.28,4.19,,,3.94
arrogant,4.07,,4.02,,,
arrow,4.9,5.95,6.19,,6.8,
art,5.29,4.4,4.93,5.65,,
article,5.33,4.79,4.21,,,4.06
artifice,2.52,3.88,2.4,,,6.37
artificial,5.14,3.5,3.86,4.28,,
artist,5.47,5.54,6,5.28,6.65,
artistic,4.68,,4.41,,,
as,5.86,1.58,2.24,2.38,,
asbestos,4.27,5.78,5.13,,,5.78
ash,4.94,5.83,5.53,3.5,,3.43
ashamed,5.16,3.25,3.97,4.31,,
ashen,2.74,3.51,3.95,2.83,,
asparagus,5.34,6.08,5.9,4.42,,
aspect,4.82,2.17,2.33,,,5.47
asphalt,4.88,5.83,5.69,3.85,,
aspirin,5.46,5.74,5.42,4.45,,
assault,4.7,4.1,4.81,,5.56,
assemblage,2.86,,,,,
assemble,4.82,3.94,4.13,,,4.17
assent,3.25,3.11,3.45,,,5.75
assist,5.16,3.42,3.68,4.25,,
assistance,5.34,2.88,3.48,,,4.64
assortment,4.92,3.55,3.67,,,4.08
assumption,5.21,,2.57,,,
aster,2.05,4.47,2.24,,,6.31
astrolabe,1.26,3.91,1.5,,,6.97
astronomy,3.91,4.19,4.83,,,4.89
astute,3.35,2.41,2.61,2.81,,
asymptote,2.81,,,,,
at,6.15,1.94,2.25,2.58,,
ate,5.62,3.85,3.64,4.03,,
athlete,4.82,5.45,5.91,,,4.28
athletics,5.48,4.37,5.51,,6.92,
atmosphere,5.4,3.85,4.44,,7.17,5.17
atom,5.13,4.81,4.99,4.26,,
atrocity,3.71,2.96,4.04,,4.17,5.89
attack,5.42,4.11,5.01,4.76,,
attempt,5.58,3.13,3.02,,,3.92
attend,5.45,3.24,3.86,4.1,,
attendant,4.94,5.33,4.99,,4.5,
attentive,4.79,,3.52,,,
attitude,5.53,2.65,3.21,,5.6,4.81
attribute,4.21,2.66,2.95,,3.83,
audience,5.11,5.15,5.55,,,4.25
audit,3.26,3.71,2.53,,,6.42
audition,4.79,3.7,3.95,3.97,,
auditorium,5.19,5.52,5.73,3.8,,
aunt,5.54,5.64,5.67,4.98,,2.33
aural,1.92,3.09,2.53,1.97,,
aurora,2.54,3.46,3.45,,,6.36
authentic,4.77,2.76,4.28,4.7,,
author,5.54,5.02,4.6,5.02,5.24,4.14
authoritative,4.43,,3.56,,,
automobile,4.56,6.07,6.28,,6.16,4.83
autumn,5.33,4.21,6.22,,,2.78
available,5.66,,2.85,,,
avalanche,3.99,5.54,5.96,,6.72,
avenue,5.29,5.39,5.64,,6.09,3.72
average,5.79,,2.97,,,
aviator,2.72,4.92,4.45,,,5.75
avid,3.54,2.75,3.25,3.03,,
avowal,2.15,2.4,2.08,,,6.42
await,4.56,,2.93,,,
aware,5.46,,2.98,,,
away,5.73,2.57,2.72,3.84,,
aweigh,1.67,2.31,2.13,1.62,,
awkward,5.02,3.29,4.19,4.76,,
awl,2.57,4.13,2.92,2,,
axe,4.61,6.23,5.97,,,3.11
axil,3.23,4.67,3.89,2.89,,
axiom,3.18,3.06,3.11,2.55,,
axle,4.82,5.55,5.6,3.57,,
aye,3.33,2.33,2.55,2.1,,
babe,3.7,5.62,5.62,,,3.03
baby,5.97,5.89,6.08,5.73,7.04,
back,5.87,5.4,4.83,4.18,,2.25
background,5.4,3.83,4.27,,5.88,4
bacteria,4.6,5.6,5.05,4.37,6.12,
bad,5.92,3.08,3.88,5.31,,
badge,4.73,5.61,5.19,4.1,,
bag,6.34,6.03,5.7,,,2.17
bagpipe,3.97,6.01,5.94,3.8,7,3.77
bail,4.85,4.41,4.8,3.84,,
bake,5.49,,4.95,,,
balance,5.45,3.66,4.29,,,3.67
bale,3.86,4.62,4.73,2.78,,
ball,5.75,6.15,6.22,5.15,,1.5
balloon,5.2,6.23,5.83,3.94,,
ballot,4.53,4.55,4.37,,,5.39
banality,1.75,2.92,2.55,2.13,3.12,
banana,5.76,6.33,6.44,4.49,,
band,5.55,5.9,5.79,4.77,,2.36
bandage,5.46,6.39,5.54,4.82,,
bandit,3.88,5.47,5.62,,6.92,
bang,5.03,4.35,4.7,3.91,,
bank,5.73,5.73,5.6,4.65,,
banker,5.24,5.47,5.65,4.27,6.56,3.92
banner,3.81,5.67,5.69,,6.2,
bar,5.92,5.65,5.96,5,6.08,
barb,3.02,5.27,4.48,,,5.28
bard,2.24,3.95,4.06,2.49,4.8,
bare,5.21,3.99,4.87,4.53,,
bargain,5.52,3.99,5.05,,,3.94
bark,5.18,5.63,5.39,4.33,,
barn,4.66,6.14,5.89,,,2.89
barnacle,2.77,5.42,4.58,,5.69,
baron,3.39,5.13,4.98,,5.72,4.72
barrel,4.87,5.9,6.02,3.85,6.16,3.19
base,5.2,4.41,4.36,3.98,,3.69
basement,5.22,5.85,5.71,4.52,6.83,
bashful,4.35,,4,,,
basic,5.33,,2.71,,,
basilisk,0.79,,,,,
basin,5.04,6.02,5.42,4.05,,2.5
basket,4.85,6.06,5.6,4.07,,
bass,5.4,5.47,5.44,4.21,,
bat,5.14,5.64,5.86,4.12,,
bath,5.99,6,6.01,4.77,,1.72
baton,4.24,5.7,5.16,3.38,,
battle,5.37,5.64,5.97,4.95,,
bawl,4.29,3.84,4.17,3.7,,
bay,4.74,5.8,5.7,,,3.36
bayonet,2.93,6,5.48,,,5
be,6.13,2.25,2.74,3.25,,
beach,5.53,6.12,6.67,5.18,,
beak,4.76,5.52,5.74,3.85,,
beam,4.76,5.02,5.39,3.86,,3.94
bean,5.49,6.04,5.38,3.71,,
bear,5.26,5.85,5.72,4.08,,
beard,5.38,5.8,6.3,4.34,,
beast,4.56,5.64,5.58,,6.08,3.19
beat,5.36,3.61,4.06,4.71,,
beau,2.42,4.19,3.94,,,6.11
beautiful,6.09,3.93,5.32,6.17,,
beauty,5.61,3.36,5.13,5.98,,3.44
beaver,4.7,5.89,6.12,4.12,8.19,
became,5.31,2.73,2.62,3.34,,
because,6.04,1.96,2.44,3.1,,
become,6.03,,2.59,,,
bed,6.36,6.35,6.35,5.45,,1.69
bedel,1.18,2.76,1.77,1.44,,
bedroom,6.46,6.15,6.29,,,2.06
bee,5.54,5.97,6.23,4.41,,
beech,3.74,4.46,4.35,2.9,,
beef,5.98,6.37,6.25,5.31,,
beehive,3.98,6.11,5.72,,,3.44
been,5.67,2.15,2.22,2.7,,
beer,6.04,5.87,5.98,4.6,,
beet,4.97,6.45,5.55,3.97,,
beetle,5.03,6.19,6.4,4.44,,
before,5.83,2.61,2.55,3.95,,
beg,5.29,3,4.31,4.21,,
began,5.93,,2.51,,,
beggar,4.35,5.33,5.93,4.72,6.5,3.64
beginning,5.93,3.18,3.59,,,3.11
behaviour,5.73,2.95,3.51,,,4
behind,6.03,,3.71,,,
being,5.68,2.76,3.23,3.61,,3.83
belfry,2.11,5.26,4.53,,6.25,
belief,5.54,2.7,3.28,4.18,5.24,4.47
bell,5.43,6.2,6.1,4.5,,
belle,3.41,3.88,4.01,3.62,,
belligerent,3.2,,3.44,,,
belly,4.86,6.3,5.76,4.4,,
beloved,4.06,3.56,4.56,,,4.53
below,5.66,,3.17,,,
belt,5.5,6.02,4.94,3.98,,
bench,4.88,6.14,5.55,,,3.11
bend,5.1,,4.6,,,
benefactor,3.56,4.49,3.45,,,6
beneficial,4.96,2.51,3.62,4.23,,
benefit,4.81,3.76,4.45,4.15,,
benzene,3.18,5.35,4.18,,,6.75
bequest,3.16,3.49,2.94,,,6
bereavement,2.49,2.98,4.09,,5.75,
beret,4.19,5.78,5.17,3.92,,
berry,4.7,5.73,5.51,4.48,,2.89
berth,3.79,4.25,4.02,2.87,,
besieger,2.55,4.41,3.35,,,5.92
best,6,2.82,3.24,4.84,,
bet,5.27,4.03,4.53,,,3.64
betel,1.29,3.2,2.38,2,,
betrayal,3.92,2.58,3.58,,5,4.92
better,6.33,,2.74,,,
betterment,2.93,2.7,3.1,,,5.69
beverage,5.66,5.26,5.65,,6.58,
bewilderment,4.21,2.7,4.07,,,5.22
bhang,1.16,3.16,2.17,1.85,,
bias,3.99,,,,,
bib,3.8,5.48,4.88,3.57,,
bible,4.96,5.85,5.94,4.89,,
bid,4.73,3.64,3.94,,,4.25
bier,1.62,4.11,2.94,2.42,,
big,6.4,,4.63,,,
bilious,1.54,,2.93,,,
bill,5.52,5.28,5.35,4.28,,4.06
billed,4.97,3.77,3.55,2.98,,
bin,5.8,5.98,5.62,,,1.92
biology,5.26,4,4.41,4.69,,
birch,5.18,6.2,5.61,4.48,,
bird,5.92,6.02,6.14,5.19,7.88,2.06
birth,5.27,4.71,5.32,5.05,,3.28
biscuit,5.21,5.74,5.71,3.97,,
bishop,4.67,5.87,5.24,4.37,,
bison,2.98,,5.41,,,
bit,4.6,3.92,4.32,3.92,,
bite,5.93,5.09,5.53,,,2.14
bitter,5.26,4.09,4.57,4.32,,
bitterness,4.3,2.7,3.78,,,4.97
bivouac,1.54,4.87,3.7,,5.36,
black,6.03,4.7,5.89,4.93,,
blacksmith,4.07,5.89,5.75,3.69,7.44,
blade,5.17,5.84,5.68,4.23,,3.44
blame,5.41,2.93,3.56,,,3.28
bland,4.36,3.38,3.48,3.6,,
blanket,5.63,6.22,5.82,4.49,,2.11
blasphemy,3.27,3.24,3.55,,5.19,
bleach,5.49,5.44,5.1,3.87,,
bleak,4.66,3.07,4.35,4.15,,
blessing,4.83,2.77,4.22,,6.19,3.92
blew,5.33,3.67,4.04,4.15,,
blind,5.31,4.43,4.85,4.17,,
blink,4.5,,4.71,,,
blister,4.62,5.73,6.16,,7.13,
block,5.44,5.58,4.83,,,2.44
blonde,5.63,5.02,6.08,4.63,,
blood,5.71,6.13,6.2,4.67,6.56,2.53
bloom,4.26,5.2,5.24,,5.12,4.03
blossom,5.07,5.59,6.18,4.93,7.6,
blouse,5.62,6.4,5.95,5.3,,
blow,5.28,3.97,4.58,4.02,,
blue,5.93,4.59,5.69,4.46,,
bluebell,4.16,6.21,6.05,,,3.03
blunder,4.75,3.22,4.32,4.08,,
blunderbuss,2.21,4.23,3.58,2.12,3.56,
blunt,4.34,,4.04,,,
blush,5.35,4.65,5.51,4.82,,3.78
boar,4.55,5.58,5.24,3.85,,
board,5.46,5.65,5.92,3.89,6.92,
boast,4.91,2.95,4.16,,,3.78
boat,5.84,6.37,6.31,5.42,,
boating,5.19,4.94,5.33,4.6,,
boatswain,2.3,5.43,3.43,,,5.78
body,6.1,5.68,6.14,5.43,5.61,2.67
boil,5.33,4.67,5.33,4.39,,
boisterous,3.68,,4.04,,,
bole,1.14,3.39,2.13,1.66,,
boll,2.1,3.5,2.7,1.87,,
bolt,4.66,5.56,5.51,4,,3.69
bomb,5.66,5.95,6.06,4.97,,
bond,4.54,4.03,3.8,,,4.91
bone,5.41,5.88,5.67,4.18,,
bonus,5.39,,3.97,,,
book,6.43,6.09,5.91,5.82,7.68,2.14
boot,5.66,5.95,6.04,4.4,,2.51
booth,4.44,5.56,4.86,4.08,,5.08
border,4.89,4.44,4.53,,,4.17
bore,5.43,3.44,4.04,4.3,,
boredom,5.27,2.62,4.06,,4.63,
boring,5.9,,3.9,,,
born,5.66,3.36,4.35,4.84,,
borne,3.8,3.24,3.46,2.72,,
bosom,4.25,5.52,5.93,,5.5,4.89
boss,5.74,5.52,5.54,,5.81,
botany,4.59,4.44,4.1,4.35,,
both,5.98,3.22,2.98,3.2,,
bother,5.83,2.67,3.69,,,3.22
bottle,5.91,5.91,6.19,,7.24,
bottom,5.87,,4.36,,,
boulder,4.95,5.97,6.14,5.51,5.88,
boundary,4.81,4.11,4.35,,,4.72
bouquet,4.73,5.66,5.99,4.23,5.76,
bourbon,5.31,5.7,6.06,4.65,,
bow,4.89,5.72,5.46,4.48,,2.71
bowl,5.57,5.75,5.79,4.47,7.24,2.56
box,5.99,5.97,5.91,4.82,,1.92
boy,6.06,6.09,6.18,5.43,6.96,
bra,5.75,6.29,6.24,5.15,,
bracelet,5.47,6.02,6.06,4.61,,
brain,5.8,5.56,5.72,4.94,6.8,3.47
brake,5.51,5.26,5.11,4.37,,
bramble,2.95,3.78,3.77,2.98,,
branch,5.29,5.83,5.48,,,3.03
brandy,5.42,5.95,5.9,5.19,,
brass,4.69,5.77,5.24,3.77,,4.14
brassiere,5.03,5.92,6.35,,4.75,
brat,5.07,5.01,5.36,4.69,,
brave,5.44,2.83,4.27,5.11,,
bravery,4.66,2.61,4.5,,6.44,
brawl,4.18,4.56,4.85,4.46,,4.94
bread,6.11,6.22,6.19,4.84,,
break,5.29,3.6,3.98,3.9,,
breakfast,6.57,5.76,5.86,,,2.33
breast,5.55,5.8,5.97,4.98,5.81,
breath,5.72,4.79,4.8,4.45,,3.31
bred,4.23,3.08,3.87,3.87,,
breeze,5.11,5,5.6,,7.33,3.51
bribe,5.31,3.67,4.25,4.36,,
brick,5.29,6.1,5.74,3.98,,2.61
bridge,5.61,6.23,6.08,,,2.89
brief,5.23,3.61,3.44,4.08,,
brigand,2.7,4.64,3.32,,,5.89
bright,5.89,4.73,4.89,4.32,,
brilliant,4.93,3.5,4.82,4.9,,
brim,4.3,5.09,5.1,,,3.94
brisket,3.64,4.56,3.7,2.92,,
bristle,4.61,5.58,5.62,,,3.83
broad,5.23,3.99,4.63,4.72,,
brocade,2.98,5.4,4.16,,,5.92
broil,5.02,4.48,5.15,4.07,,
broke,5.28,3.94,4.85,4.32,,
broken,5.76,3.83,4.69,4.9,,
bronze,3.98,5.68,5.88,,6.19,
brook,3.84,6.11,5.97,,,3.75
broom,5.47,6.13,6.08,4.44,,
brother,5.98,5.85,5.89,5.69,,2.19
brownie,3.86,5.35,5.53,,,3.81
brush,5.79,5.89,5.7,4.52,,2.14
brut,3.43,4.3,3.92,3.56,,
brutal,4.46,4.02,4.27,4.67,,
brutality,4.54,3.44,4.89,,5.06,
brute,4.3,4.62,4.81,4.22,6.08,
bubal,0.79,2.58,2.33,1.74,,
bubble,5.08,5.63,6.04,4.15,,2.72
bucket,5.06,5.94,5.86,4.02,,
buckle,4.74,5.68,5.87,3.66,,
bud,4.65,5.49,5.08,3.75,,3.31
budget,5.17,3.66,3.94,,,4.97
buffer,4.02,5.09,4.59,,,5.53
buffoon,2.62,4.18,3.93,2.75,4.5,
build,5.54,4.02,3.99,4.34,,
builder,5.54,5.32,5.51,,5.56,
building,6.07,5.89,5.78,5.03,5.48,3
bulky,4.71,,4.58,,,
bulldog,3.7,6.26,5.83,,,3.94
bullet,5.17,5.95,6.11,,7.68,
bump,5.41,5.25,4.76,4.21,,
bunch,5.03,4.52,4.86,4.48,,3.17
bungalow,4.21,5.64,5.43,4.25,5.48,
bunny,4.71,,5.85,,,
buoyant,3.21,,4.26,,,
burden,4.46,3.91,4.99,,,4.74
bureau,3.95,5.47,4.97,,,4.61
burgher,1.33,,3.17,,,
burial,4,4.77,5.44,,,4.46
burlap,4.12,5.83,4.88,3.52,,
burn,5.48,4.9,5.41,4,,2.17
burner,5.18,5,4.88,3.77,,
burro,4.75,6.18,6.38,4.32,,
burrow,4.21,4.26,4.44,3.52,,
bury,4.79,3.72,4.01,3.8,,
bush,5.32,5.85,5.49,3.82,,2.56
business,5.63,3.89,4.41,4.61,,4.36
busy,6,3.29,4.03,3.85,,
busybody,3.93,4.63,5.1,,5.5,
but,6.03,2.27,2.06,2.25,,
butcher,4.73,5.56,5.96,,6.72,
butler,4.25,,5.43,,,
butter,6.15,6.18,6.03,4.66,6.91,2.06
butterfly,4.81,5.93,6.24,4.24,7.8,
button,5.73,6.13,5.8,3.87,,1.92
butyl,1.47,3.21,2.69,1.93,,
buy,5.75,3.7,3.97,4.5,,
buyer,4.87,,4.63,,,
by,5.98,2.08,2.29,2.74,,
byre,1.51,2.34,2.31,1.72,,
cabbage,5.04,6.11,5.73,3.97,,
cabin,5.23,5.96,5.82,4.88,7.2,
cabinet,4.72,5.93,5.24,,,3.83
cable,4.92,5.44,4.69,3.68,,
cache,2.59,4.59,3.03,,,6.14
cactus,4,,,,,
cafe,5.31,5.68,6.25,4.79,,
cage,4.87,5.93,5.85,4.46,,3
cake,5.94,6.24,6.24,4.73,,2.14
calculus,3.64,3.31,4.35,,,6.89
calf,5.11,5.92,5.65,4.15,,
calix,1.24,3.2,2.48,1.58,,
call,5.99,3.89,4.24,4.3,,2.25
calm,5.47,3.6,4.39,4.69,,
calmness,4.52,3.15,4.37,,,4.53
came,5.63,2.65,2.88,3.73,,
camel,4.21,5.97,5.61,3.72,,
camera,5.5,6.27,5.76,4.72,,
camouflage,3.41,4.8,5.13,,6.38,
camp,5.41,5.71,5.88,4.84,7.17,3.08
can,6.2,3.65,3.69,3.27,,
canada,6.38,,,,,
canal,4.64,5.98,5.88,,,3.5
canary,4.11,5.77,5.33,3.82,,
cancer,5.56,6.15,5.67,4.92,,
candid,3.74,,3.37,,,
candidate,4.88,4.89,4.52,,5.76,5.78
candle,5.44,5.65,5.94,3.93,,
candlelight,4.39,5,5.99,,,4.19
candy,5.59,6.02,6.01,5.03,6.39,
cane,4.42,5.9,6.08,,7.48,
cannon,4.98,6.04,5.88,4.43,,
canoe,4.41,6.23,6.02,,,3.94
canon,4.24,5.41,4.93,4.1,,
canteen,4.9,5.87,5.4,4.08,,4.36
cap,4.29,,,,,
capable,5.54,,3.15,,,
capacity,5.12,2.93,3.73,,5.44,
cape,5.21,5.81,5.66,4.27,,
capital,5.38,4.48,5.18,4.36,,3.8
capitol,5.29,5.29,5.45,4.87,,
capitulate,3.11,2.7,2.62,,,6.47
capsule,5.05,5.4,5.94,4.23,,
captain,4.98,5.34,4.97,4.38,,
captive,4.15,5.16,5.18,,5.39,
car,6.34,6.22,6.38,5.53,6.38,1.97
carat,3.83,4.88,3.45,3.13,,
caravan,3.04,5.39,5.62,,6.52,
carbohydrate,4.61,4.19,4.61,,,6.11
carbon,4.7,5.11,4.45,3.52,,
